point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:SSC_01-013_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_013_Corridor,entity:SSC_01-013_Corridor
entity:SSC_01-014_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_014_Shell_Space,entity:SSC_01-014_Shell-Space
entity:SSC_01-014_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_014_Shell_Space,entity:SSC_01-014_Shell-Space
entity:SSC_01-015_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_015_Shell_Space,entity:SSC_01-015_Shell-Space
entity:SSC_01-015_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_015_Shell_Space,entity:SSC_01-015_Shell-Space
entity:SSC_01-016_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_016_Shell_Space,entity:SSC_01-016_Shell-Space
entity:SSC_01-016_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_016_Shell_Space,entity:SSC_01-016_Shell-Space
entity:SSC_01-017_Female-Toilet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_017_Female_Toilet,entity:SSC_01-017_Female-Toilet
entity:SSC_01-017_Female-Toilet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_017_Female_Toilet,entity:SSC_01-017_Female-Toilet
entity:SSC_01-018_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_018_Corridor,entity:SSC_01-018_Corridor
entity:SSC_01-018_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_018_Corridor,entity:SSC_01-018_Corridor
entity:SSC_01-019_Prayer-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_019_Prayer_Room,entity:SSC_01-019_Prayer-Room
entity:SSC_01-019_Prayer-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_019_Prayer_Room,entity:SSC_01-019_Prayer-Room
entity:SSC_01-020_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_020_Corridor,entity:SSC_01-020_Corridor
entity:SSC_01-020_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_020_Corridor,entity:SSC_01-020_Corridor
entity:SSC_01-021_Ablution-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_021_Ablution_Room,entity:SSC_01-021_Ablution-Room
entity:SSC_01-021_Ablution-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_021_Ablution_Room,entity:SSC_01-021_Ablution-Room
entity:SSC_01-022_Ablution-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_022_Ablution_Room,entity:SSC_01-022_Ablution-Room
entity:SSC_01-022_Ablution-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_022_Ablution_Room,entity:SSC_01-022_Ablution-Room
entity:SSC_01-023_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_023_Corridor,entity:SSC_01-023_Corridor
entity:SSC_01-023_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_023_Corridor,entity:SSC_01-023_Corridor
entity:SSC_01-024_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_024_Corridor,entity:SSC_01-024_Corridor
entity:SSC_01-024_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_024_Corridor,entity:SSC_01-024_Corridor
entity:SSC_01-025_Male-Toilet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_025_Male_Toilet,entity:SSC_01-025_Male-Toilet
entity:SSC_01-025_Male-Toilet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_025_Male_Toilet,entity:SSC_01-025_Male-Toilet
entity:SSC_01-026_Storage-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_026_Storage_Room,entity:SSC_01-026_Storage-Room
entity:SSC_01-026_Storage-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_026_Storage_Room,entity:SSC_01-026_Storage-Room
entity:SSC_01-027_IDF-1_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_027_IDF_1,entity:SSC_01-027_IDF-1
entity:SSC_01-027_IDF-1_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_027_IDF_1,entity:SSC_01-027_IDF-1
entity:SSC_01-028_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_028_Corridor,entity:SSC_01-028_Corridor
entity:SSC_01-028_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_028_Corridor,entity:SSC_01-028_Corridor
entity:SSC_01-029_Room-No-42_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_029_Room_No_42,entity:SSC_01-029_Room-No-42
