building,tag,room in V1.2,room now,same room?,V1.2 says,the register says,the rule says
HQ,VAV0463,BMO SUPP. SEC. 9.029,9.029 BMO SUPPSECRET,yes,Not Included,Included,Included
HQ,VAV0464,BMO SUPP. SEC. 9.030,9.030 BMO SUPPSECRET,yes,Not Included,Included,Included
HQ,VAV0471,BOD SEC. 9.037,9.037 BOD SECRETARY,yes,Not Included,Included,Included
HQ,VAV0486,LEGAL SUP. SEC. 9.008,9.008 LEGAL LEGSUPSEC,yes,Not Included,Included,Included
HQ,VAV0487,LEGAL SUP. SEC. 9.009,9.009 LEGAL LEGSUPSEC,yes,Not Included,Included,Included
HQ,VAV0488,LEGAL ADV. ENSUIT 9.010,9.010 LEGAL LEGADVENSUIT,yes,Not Included,Included,Included
HQ,VAV0496,KITCHEN 9.108,9.108 SUPPORT SPACE PREP KITCHEN,yes,Not Included,Included,Included
HQ,VAV0576,EXEC. DIR. CONSULTANT 11.008,11.008 EXEC DIR CONSULTANT,yes,Not Included,Included,Included
HQ,VAV0577,SEC. 11.009,11.009 SECRETARY,yes,Not Included,Included,Included
HQ,VAV0579,SECRETARY 11.011,11.011 SECRETARY,yes,Not Included,Included,Included
QNL,AHUB002,Basement Level Zone 1 Plant Room 1 B.063,B.063 PLANT ROOM 01,yes,Included,Not Included,Not Included
QNL,AHUB003,Basement Level Zone 1 Plant Room 2 B.070,B.070 PLANT ROOM 02,yes,Included,Not Included,Not Included
QNL,AHUB004,Basement Level Zone 2 Plant Room 3 B.110,B.110 PLANT ROOM 03,yes,Included,Not Included,Not Included
QNL,AHUB005,Basement Level Zone 4 Plant Room 4 B.220,B.220 PLANT ROOM 04,yes,Included,Not Included,Not Included
QNL,AHUB006,Basement Level Zone 4 Plant Room 4 B.220,B.220 PLANT ROOM 04,yes,Included,Not Included,Not Included
QNL,AHUB007,Basement Level Zone 4 Plant Room 4 B.220,B.220 PLANT ROOM 04,yes,Included,Not Included,Not Included
QNL,AHUB009,Basement Level Zone 2 Plant Room 3 B.110,B.110 PLANT ROOM 03,yes,Included,Not Included,Not Included
QNL,FCU_1F_002,ICT Room 02 L1.030,L1.030 ICT ROOM 02,yes,Not Included,Included,Included
QNL,FCU_1F_057,ILL DIRECTOR L1.144,L1.144 ILL DIRECTOR,yes,Not Included,Included,Not Included
QNL,FCU_1F_058,ILL DIRECTOR L1.145,L1.145 ILL DIRECTOR,yes,Not Included,Included,Not Included
QNL,FCU_B_002,FUMIGATION B.085,B.085 FUMIGATION ROOM,yes,Not Included,Included,Included
QNL,FCU_B_009,PEOPLE MOVER ROOM B.088,B.088 PEOPLE MOVER PLANT,yes,Not Included,Included,Not Included
QNL,FCU_B_030,WATER FEATURE ROOM B.226,B.226 PUMP RM 4,yes,Not Included,Included,Not Included
QNL,VAV_B_S11_024,Kitchen B.002,B.002 KITCHEN,yes,Not Included,Included,Included
QNL,VAV_B_S13_006,Fumigation Room B.085,B.085 FUMIGATION ROOM,yes,Not Included,Included,Included
QNL,VAV_B_S15_002,Lobby and Security B.145,B.145 LOBY AND CSECURITY,yes,Included,Not Included,Included
QNL,VAV_B_S15_003,Lobby and Security B.145,B.145 LOBY AND CSECURITY,yes,Included,Not Included,Included
QNL,VAV_B_S15_004,Lobby and Security B.145,B.145 LOBY AND CSECURITY,yes,Included,Not Included,Included
