building,tag,room before,room after,source
HQ,VAV0020,PR & MARKET STAFF G.023,G.023 PR AND MARKET STAFF,D
HQ,VAV0021,CORRIDOR G.601,G.601 CORRIDOR,J
HQ,VAV0022,CORRIDOR G.601,G.601 CORRIDOR,J
HQ,VAV0023,SHOP G.105,G.105 SHOP,J
HQ,VAV0024,LOBBY G.104,G.104 LOBBY,J
HQ,VAV0025,LOBBY G.104,G.104 LOBBY,J
HQ,VAV0026,BMS ROOM G.103,G.103 BMS,J->E
HQ,VAV0027,PR & MARKET MANAGER G.004,G.004 PR AND MARKET MANAGER,D
HQ,VAV0028,PR & MARKET MANAGER G.003,G.003 PR AND MARKET MANAGER,D
HQ,VAV0029,PR & MARKET MANAGER G.002,G.002 PR AND MARKET MANAGER,D
HQ,VAV0030,G.CORIDOR,G.400 CORRIDOR SOUTH WEST SW,H
HQ,VAV0031,PR & MARKET STAFF G.001,G.001 PR AND MARKET STAFF,D
HQ,VAV0032,PR & MARKET STAFF G.038,G.038 PR AND MARKET STAFF,D
HQ,VAV0033,PR & MARKET STAFF G.037,G.037 PR AND MARKET STAFF,D
HQ,VAV0034,PR & MARKET STAFF G.036,G.036 PR AND MARKET STAFF,D
HQ,VAV0035,PR & MARKET STAFF G.035,G.035 PR AND MARKET STAFF,D
HQ,VAV0036,PR & MARKET STAFF G.034,G.034 PR AND MARKET STAFF,D
HQ,VAV0037,PR & MARKET STAFF G.033,G.033 PR AND MARKET STAFF,D
HQ,VAV0038,PR & MARKET STAFF G.032,G.032 PR AND MARKET STAFF,D
HQ,VAV0039,STAFF G.030,G.030 PR AND MARKET STAFF,D
HQ,VAV0040,SENSORY G.029,G.029 PR AND MARKET STAFF,D
HQ,VAV0041,SENSORY G.029,G.029 PR AND MARKET STAFF,J
HQ,VAV0042,PR& MARKET DIRECTOR ENSUIT G.028,G.028 PR AND MARKET DIRECTOR ENSUIT,D
HQ,VAV0043,FINANCE CASHIER G.026,G.026 FINANCE CASHIER,D
HQ,VAV0044,VIP LOUNGE G.025,G.025 VIP LOUNGE,D
HQ,VAV0045,E-TOWER LOBBY G.107,G.107 E TOWER LOBBY,J
HQ,VAV0046,CORRIDOR (SOUTH EAST) G.602,G.602 CORRIDOR SOUTH EAST,D
HQ,VAV0047,CORRIDOR (SOUTH EAST) G.603,G.603 CORRIDOR SOUTH EAST,D
HQ,VAV0048,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,D
HQ,VAV0049,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,D
HQ,VAV0050,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,J
HQ,VAV0051,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,J
HQ,VAV0052,SOFT PLAY & CREATIVE LEARNING G.108,G.108 CONSULTANT SPACE TRAINEES,D->E
HQ,VAV0053,SOFT PLAY & CREATIVE LEARNING G.108,G.108 CONSULTANT SPACE TRAINEES,J->E
HQ,VAV0054,FINANCE MANAGER 1.011,1.011 FINANCE MANAGER,D
HQ,VAV0055,FINANCE MANAGER 1.012,1.012 FINANCE MANAGER,D
HQ,VAV0056,FINANCE MANAGER 1.013,1.013 FINANCE MANAGER,D
HQ,VAV0057,FINANCE STAFF 1.014,1.014 FINANCE PROFSTAFF,D->E
HQ,VAV0058,FINANCE STAFF 1.015,1.015 FINANCE PROFSTAFF,D->E
HQ,VAV0059,FINANCE SECRETARY 1.016,1.016 FINANCE SECRETARY,D
HQ,VAV0060,FINANCE DIRECTOR 1.017,1.017 FINANCE DIRECTOR ENSUIT,D->E
HQ,VAV0061,FINANCE MANAGER 1.018,1.018 FINANCE MANAGER,D
HQ,VAV0062,FINANCE MANAGER 1.019,1.019 FINANCE MANAGER,D
HQ,VAV0063,FINANCE MANAGER 1.020,1.020 FINANCE MANAGER,J
HQ,VAV0064,FINANCE SEC 1.021,1.021 FINANCE SECRETARY,D->E
HQ,VAV0065,FINANCE SEC 1.022,1.022 FINANCE SECRETARY,D->E
