row,building,tag,room before,room after,chosen from,kind of change
504,HQ,VAV0344,LOUNGE 06.105,6.105 LOUNGE,J,"same room, level prefix differs"
505,HQ,VAV0345,LOUNGE 06.105,6.105 LOUNGE,J,"same room, level prefix differs"
506,HQ,VAV0346,INT. AUDIT SUPP. AUDIT 06.009,6.009 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
507,HQ,VAV0347,INT. AUDIT SEC. 06.010,6.010 INTAUDIT SECRETARY,D->E,"same room, level prefix differs"
508,HQ,VAV0348,INT. AUDIT 06.011,6.011 INTAUDIT SEN JNTAUD,D->E,"same room, level prefix differs"
509,HQ,VAV0349,INT. AUDIT ARCHIVE ROOM 06.002,6.002 INT AUDIT ARCHIVE ROOM,D,"same room, level prefix differs"
510,HQ,VAV0350,INT. AUDIT SUPP. AUDIT 06.003,6.003 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
511,HQ,VAV0351,INT. AUDIT SUPP. AUDIT 06.004,6.004 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
512,HQ,VAV0352,INT. AUDIT SUPP. AUDIT 06.005,6.005 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
513,HQ,VAV0353,INT. AUDIT SUPP. AUDIT 06.006,6.006 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
514,HQ,VAV0354,INT. AUDIT SUPP. AUDIT 06.007,6.007 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
515,HQ,VAV0355,INT. AUDIT SUPP. AUDIT 06.008,6.008 INT AUDIT SUPP AUDIT,D,"same room, level prefix differs"
516,HQ,VAV0356,OFFICE SPACE 06.103,6.103 SHELL SPACE,D->E,"same room, level prefix differs"
517,HQ,VAV0357,OFFICE SPACE 06.102,6.102 SHELL SPACE,D->E,"same room, level prefix differs"
518,HQ,VAV0358,OFFICE SPACE 06.101,6.101 SHELL SPACE,D->E,"same room, level prefix differs"
519,HQ,VAV0359,AUDIT ARCHIVE 06.001,6.001 ACA AUDIT ARCHIVE,D->E,"same room, level prefix differs"
520,HQ,VAV0360,S-TOWER CORRIDOR 6.601,6.601 S TOWER CORRIDOR,D,"same room, name reordered"
521,HQ,VAV0361,VP CAPITAL PROJ. MANAGER 06.201,6.201 VP CAPITAL PROJ MANAGER,D,"same room, level prefix differs"
522,HQ,VAV0362,VP CAPITAL PROJ. MANAGER 06.202,6.202 VP CAPITAL PROJ MANAGER,D,"same room, level prefix differs"
523,HQ,VAV0363,VP CAPITAL PROJ. MANAGER 06.204,6.204 VP CAPITAL PROJ MANAGER,D,"same room, level prefix differs"
524,HQ,VAV0364,VP CAPITAL CONSU. 06.205,6.205 VP CAPITAL CONSULTANT,D->E,"same room, level prefix differs"
525,HQ,VAV0365,VP CAPITAL STORAGE 06.206,6.206 VP CAPITAL STORAGE,J,"same room, level prefix differs"
526,HQ,VAV0366,VP CAPITAL SEC. 06.207,6.207 VP CAPITAL SECRETARIES,D->E,"same room, level prefix differs"
527,HQ,VAV0367,VP CAPITAL ENSUIT 06.209,6.209 VP CAPITAL ENSUIT,J,"same room, level prefix differs"
528,HQ,VAV0368,VP CAPITAL SEC. 06.210,6.210 VP CAPITAL SECRETARIES,D->E,"same room, level prefix differs"
529,HQ,VAV0369,VP CAPITAL SEC. 06.211,6.211 VP CAPITAL SECRETARIES,D->E,"same room, level prefix differs"
530,HQ,VAV0370,VP CAPITAL DIR. ENSUIT 06.212,6.212 VP CAPITAL DIRECTOR ENSUIT,D->E,"same room, level prefix differs"
531,HQ,VAV0371,E-TOWER CORRIDOR 6.603,6.603 E TOWER CORRIDOR,D,"same room, name reordered"
532,HQ,VAV0372,E-TOWER CORRIDOR 6.603,6.603 E TOWER CORRIDOR,D,"same room, name reordered"
533,HQ,VAV0373,CA ENSUIT 7.017,7.017 CA ENSUIT,J,"same room, name reordered"
534,HQ,VAV0374,CA SEC. 7.018,7.018 CA SECRETARY,D->E,"same room, name reordered"
535,HQ,VAV0375,BD UNIT SEC. 7.019,7.019 BD UNIT SECRETARY,D->E,"same room, name reordered"
536,HQ,VAV0376,BD UNIT EXECU. 7.020,7.020 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
537,HQ,VAV0377,BD UNIT EXECU. 7.021,7.021 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
538,HQ,VAV0378,BD UNIT EXECU. 7.022,7.022 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
539,HQ,VAV0379,BD UNIT EXECU. 7.023,7.023 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
540,HQ,VAV0380,BD UNIT EXECU. 7.024,7.024 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
541,HQ,VAV0381,BD UNIT EXECU. 7.025,7.025 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
542,HQ,VAV0382,BD UNIT EXECU. 7.026,7.026 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
543,HQ,VAV0383,BD UNIT EXECU. 7.027,7.027 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
544,HQ,VAV0384,BD UNIT EXECU. 7.028,7.028 BD UNIT EXECUTIVE,D->E,"same room, name reordered"
545,HQ,VAV0385,MEETING ROOM 7.029,7.029 MEETING ROOM,J,"same room, name reordered"
546,HQ,VAV0386,MEETING ROOM 7.029,7.029 MEETING ROOM,J,"same room, name reordered"
547,HQ,VAV0387,OFFICE SPACE 7.030,7.030 SHELL SPACE,D->E,"same room, name reordered"
548,HQ,VAV0388,OFFICE SPACE 7.031A,7.031A OFFICE SPACE,D,"same room, name reordered"
549,HQ,VAV0389,S-TOWER CORRIDOR 7.601,7.601 S TOWER CORRIDOR,D,"same room, name reordered"
550,HQ,VAV0390,S-TOWER CORRIDOR 7.601,7.601 S TOWER CORRIDOR,D,"same room, name reordered"
551,HQ,VAV0391,OFFICE SPACE 7.032,7.032 SHELL SPACE,D->E,"same room, name reordered"
552,HQ,VAV0392,OFFICE SPACE 7.032,7.032 SHELL SPACE,J->E,"same room, name reordered"
553,HQ,VAV0393,LOUNGE 7.106,7.106 LOUNGE,J,"same room, name reordered"
554,HQ,VAV0394,CA SECRETARY 7.105,7.105 CA SECRETARY,J,"same room, name reordered"
555,HQ,VAV0395,CA SECRETARY 7.103,7.103 CA SECRETARY,J,"same room, name reordered"
556,HQ,VAV0396,CA SECRETARY 7.102,7.102 CA SECRETARY,J,"same room, name reordered"
557,HQ,VAV0397,DOC. UNIT EMPLOYEE 07.001,7.001 DOC UNIT EMPLOYEE,D,"same room, level prefix differs"
558,HQ,VAV0398,DOC. UNIT MULTIMEDIA STUDIO 07.002,7.002 DOC UNIT MULTIMEDIA STUDIO,D,"same room, level prefix differs"
559,HQ,VAV0399,S-TOWER CORRIDOR 7.601,7.601 S TOWER CORRIDOR,D,"same room, name reordered"
560,HQ,VAV0400,DOC. UNIT MULTIMEDIA STUDIO 07.002,7.002 DOC UNIT MULTIMEDIA STUDIO,J,"same room, level prefix differs"
561,HQ,VAV0401,DOC. UNIT EMPLOYEE 7.003,7.003 DOC UNIT EMPLOYEE,D,"same room, name reordered"
562,HQ,VAV0402,DOC. UNIT EMPLOYEE 7.004,7.004 DOC UNIT EMPLOYEE,D,"same room, name reordered"
563,HQ,VAV0403,DOC. UNIT EMPLOYEE 7.005,7.005 DOC UNIT EMPLOYEE,D,"same room, name reordered"
564,HQ,VAV0404,DOC. UNIT EMPLOYEE 7.006,7.006 DOC UNIT EMPLOYEE,D,"same room, name reordered"
565,HQ,VAV0405,CA COORD 7.007,7.007 CA COORD,J,"same room, name reordered"
566,HQ,VAV0406,CA COORD 7.008,7.008 CA COORD,J,"same room, name reordered"
567,HQ,VAV0407,CA COORD 7.009,7.009 CA COORD,J,"same room, name reordered"
568,HQ,VAV0408,CA COORD 7.010,7.010 CA COORD,J,"same room, name reordered"
569,HQ,VAV0409,CA COORD 7.011,7.011 CA COORD,J,"same room, name reordered"
570,HQ,VAV0410,CA COORD 7.012,7.012 CA COORD,J,"same room, name reordered"
571,HQ,VAV0411,CA COORD 7.013,7.013 CA COORD,J,"same room, name reordered"
572,HQ,VAV0412,CA COORD 7.014,7.014 CA COORD,J,"same room, name reordered"
573,HQ,VAV0413,CA COORD 7.015,7.015 CA COORD,J,"same room, name reordered"
574,HQ,VAV0414,CA COORD 7.016,7.016 CA COORD,J,"same room, name reordered"
575,HQ,VAV0415,CONSULTANT SPACE 7.201,7.201 CONSULTANT SPACE,J,"same room, name reordered"
576,HQ,VAV0416,PRE. EXEC. OFFICE 7.202,7.202 PRESIDENT EXECOFFICE,D->E,"same room, name reordered"
577,HQ,VAV0417,PRE. EXEC. OFFICE 7.204,7.204 PRESIDENT EXECOFFICE,D->E,"same room, name reordered"
578,HQ,VAV0418,PRE. EXEC. OFFICE 7.204,7.204 PRESIDENT EXECOFFICE,D->E,"same room, name reordered"
579,HQ,VAV0419,PRE. EXEC. OFFICE 7.205,7.205 PRESIDENT EXECOFFICE,D->E,"same room, name reordered"
580,HQ,VAV0420,PRE. EXEC. OFFICE 7.205,7.205 PRESIDENT EXECOFFICE,D->E,"same room, name reordered"
581,HQ,VAV0421,PRESIDENT SUPP. SEC. 7.208,7.208 PRESIDENT SUPPORT SECRET,D->E,"same room, name reordered"
582,HQ,VAV0422,E-TOWER CORRIDOR 7.603,7.603 E TOWER CORRIDOR,J,"same room, name reordered"
583,HQ,VAV0423,PRESIDENT EXEC. SEC. 7.209,7.209 PRESIDENT EXECSECRET,D->E,"same room, name reordered"
584,HQ,VAV0424,PRESIDENT EXEC. SEC. 7.210,7.210 PRESIDENT EXECSECRET,D->E,"same room, name reordered"
585,HQ,VAV0425,PRESIDENT ENSUIT 7.211,7.211 PRESIDENT ENSUIT,D,"same room, name reordered"
586,HQ,VAV0426,PRESIDENT MEETING ROOM 7.212,7.212 PRESIDENT MEETING ROOM,D,"same room, name reordered"
587,HQ,VAV0427,VICE CHAIRPERSON ENSULT 7.213,7.213 VICE CHAIRPERSON ENSULT,D,"same room, name reordered"
588,HQ,VAV0428,VICE CHAIRPERSON SEC. 7.214,7.214 VICE CHAIRSECRETARY,D->E,"same room, name reordered"
589,HQ,VAV0429,MEETING ROOM 7.215,7.215 VICE CHAIRPERSON MEETING ROOM,D->E,"same room, name reordered"
590,HQ,VAV0430,MEETING ROOM 7.301,7.301 MEETING ROOM,D,"same room, name reordered"
591,HQ,VAV0431,MEETING ROOM 7.301,7.301 MEETING ROOM,J,"same room, name reordered"
592,HQ,VAV0432,MEETING ROOM 7.301,7.301 MEETING ROOM,J,"same room, name reordered"
593,HQ,VAV0433,OBSERVATION SPACE 8.001,8.001 OBSERVATION SPACE,J,"same room, name reordered"
594,HQ,VAV0434,OBSERVATION SPACE 8.001,8.001 OBSERVATION SPACE,J,"same room, name reordered"
595,HQ,VAV0435,OBSERVATION SPACE 8.001,8.001 OBSERVATION SPACE,J,"same room, name reordered"
596,HQ,VAV0436,OBSERVATION SPACE 8.001,8.001 OBSERVATION SPACE,J,"same room, name reordered"
597,HQ,VAV0437,OBSERVATION SPACE 8.001,8.001 OBSERVATION SPACE,J,"same room, name reordered"
598,HQ,VAV0438,VISITORS CENTER OFFICE 8.002,8.002 VISITORS CENTER OFFICE,J,"same room, name reordered"
599,HQ,VAV0439,VISITORS CENTER CORRIDOR 8.602,8.602 VISITORS CENTER CORRIDOR,D,"same room, name reordered"
600,HQ,VAV0440,VISITORS CENTER CORRIDOR 8.602,8.602 VISITORS CENTER CORRIDOR,J,"same room, name reordered"
601,HQ,VAV0441,VISITORS CENTER CORRIDOR 8.602,8.602 VISITORS CENTER CORRIDOR,J,"same room, name reordered"
602,HQ,VAV0442,VISITORS CENTER CORRIDOR 8.602,8.602 VISITORS CENTER CORRIDOR,J,"same room, name reordered"
603,HQ,VAV0443,VISITORS CENTER CORRIDOR 8.602,8.602 VISITORS CENTER CORRIDOR,J,"same room, name reordered"
604,HQ,VAV0444,BMO EXEC. ASSIST. 9.011,9.011 BMO EXEC ASSIST,D,"same room, name reordered"
605,HQ,VAV0445,BMO EXEC. ASSIST. 9.012,9.012 BMO EXEC ASSIST,D,"same room, name reordered"
606,HQ,VAV0446,BMO EXEC. ASSIST. 9.013,9.013 BMO EXEC ASSIST,D,"same room, name reordered"
607,HQ,VAV0447,BMO EXEC. ASSIST. 9.014,9.014 BMO EXEC ASSIST,D,"same room, name reordered"
608,HQ,VAV0448,BMO EXEC. ASSIST. 9.015,9.015 BMO EXEC ASSIST,D,"same room, name reordered"
609,HQ,VAV0449,BMO EXEC. ASSIST. 9.016,9.016 BMO EXEC ASSIST,D,"same room, name reordered"
610,HQ,VAV0450,BMO EXEC. ASSIST. 9.017,9.017 BMO EXEC ASSIST,D,"same room, name reordered"
611,HQ,VAV0451,BMO EXEC. SEC. 9.018,9.018 BMO EXECSECRET,D->E,"same room, name reordered"
612,HQ,VAV0452,BMO EXEC. SEC. 9.019,9.019 BMO EXECSECRET,D->E,"same room, name reordered"
613,HQ,VAV0453,BMO EXEC. SEC. 9.020,9.020 BMO EXECSECRET,D->E,"same room, name reordered"
614,HQ,VAV0454,BMO OPER. DIR. ENSUIT 9.021,9.021 BMO OPER DIR ENSUIT,D,"same room, name reordered"
615,HQ,VAV0455,BMO EXEC. ASSIST. 9.022,9.022 BMO EXEC ASSIST,D,"same room, name reordered"
616,HQ,VAV0456,BMO EXEC. SEC. 9.023,9.023 BMO EXECSECRET,D->E,"same room, name reordered"
617,HQ,VAV0457,BMO EXEC. SEC. 9.024,9.024 BMO EXECSECRET,D->E,"same room, name reordered"
618,HQ,VAV0458,BMO EXEC. SEC. 9.025,9.025 BMO EXECSECRET,D->E,"same room, name reordered"
619,HQ,VAV0459,BMO EXEC. SEC. 9.025,9.025 BMO EXECSECRET,J->E,"same room, name reordered"
620,HQ,VAV0460,BMO SUPP. SEC. 9.026,9.026 BMO SUPPSECRET,D->E,"same room, name reordered"
621,HQ,VAV0461,BMO SUPP. SEC. 9.027,9.027 BMO SUPPSECRET,D->E,"same room, name reordered"
622,HQ,VAV0462,BMO SUPP. SEC. 9.028,9.028 BMO SUPPSECRET,D->E,"same room, name reordered"
623,HQ,VAV0463,BMO SUPP. SEC. 9.029,9.029 BMO SUPPSECRET,D->E,"same room, name reordered"
624,HQ,VAV0464,BMO SUPP. SEC. 9.030,9.030 BMO SUPPSECRET,D->E,"same room, name reordered"
625,HQ,VAV0465,BMO PRINT COPY 9.031,9.031 BMO PRINT COPY,J,"same room, name reordered"
626,HQ,VAV0466,BMO STORAGE 9.032,9.032 BMO STORAGE,D,"same room, name reordered"
627,HQ,VAV0467,HR EDU. ADV. ENSUIT 9.033,9.033 HR EDUADVADVISOR ENSUIT,D->E,"same room, name reordered"
628,HQ,VAV0468,HR EDU. ADV. ENSUIT 9.034,9.034 HR EDUADVADVISOR ENSUIT,D->E,"same room, name reordered"
629,HQ,VAV0469,HR EDU. ADV. ENSUIT 9.035,9.035 HR EDUADVADVISOR ENSUIT,D->E,"same room, name reordered"
630,HQ,VAV0470,BOD EXECUTIVE 9.036,9.036 BOD EXECUTIVE,J,"same room, name reordered"
631,HQ,VAV0471,BOD SEC. 9.037,9.037 BOD SECRETARY,D->E,"same room, name reordered"
632,HQ,VAV0472,BOD EXECUTIVE 9.038,9.038 BOD EXECUTIVE,D,"same room, name reordered"
633,HQ,VAV0473,HH-WING CORRIDOR 9.601,9.601 HH WING CORRIDOR,D,"same room, name reordered"
634,HQ,VAV0474,HH-WING CORRIDOR 9.601,9.601 HH WING CORRIDOR,J,"same room, name reordered"
635,HQ,VAV0475,MEETING ROOM 9.039,9.039 MEETING ROOM,J,"same room, name reordered"
636,HQ,VAV0476,BMO SAFE 9.040,9.040 BMO SAFE ROOM,D->E,"same room, name reordered"
637,HQ,VAV0477,BMO ARCHIVE ROOM 9.041,9.041 BMO ARCHIVE ROOM,J,"same room, name reordered"
638,HQ,VAV0478,HH-WING CORRIDOR 9.601,9.601 HH WING CORRIDOR,D,"same room, name reordered"
639,HQ,VAV0479,LEGAL ARCHIVE 9.001,9.001 LEGAL ARCHIVE,J,"same room, name reordered"
640,HQ,VAV0480,LEGAL CONSULE 9.002,9.002 LEGAL CONSULE,J,"same room, name reordered"
641,HQ,VAV0481,LEGAL CONSULE 9.003,9.003 LEGAL LEGAL CONSULE,J->E,"same room, name reordered"
642,HQ,VAV0482,LEGAL CONSULE 9.004,9.004 LEGAL LEGAL CONSULE,J->E,"same room, name reordered"
643,HQ,VAV0483,LEGAL CONSULE 9.005,9.005 LEGAL LEGAL CONSULE,J->E,"same room, name reordered"
644,HQ,VAV0484,LEGAL CONSULE 9.006,9.006 LEGAL LEGAL CONSULE,J->E,"same room, name reordered"
645,HQ,VAV0485,LEGAL CONSULE 9.007,9.007 LEGAL LEGAL CONSULE,J->E,"same room, name reordered"
646,HQ,VAV0486,LEGAL SUP. SEC. 9.008,9.008 LEGAL LEGSUPSEC,J->E,"same room, name reordered"
647,HQ,VAV0487,LEGAL SUP. SEC. 9.009,9.009 LEGAL LEGSUPSEC,J->E,"same room, name reordered"
648,HQ,VAV0488,LEGAL ADV. ENSUIT 9.010,9.010 LEGAL LEGADVENSUIT,J->E,"same room, name reordered"
649,HQ,VAV0489,LOUNGE 9.105,9.105 LOUNGE,J,"same room, name reordered"
650,HQ,VAV0490,BMO WAITING AREA 9.104,9.104 BMO WAITING AREA,J,"same room, name reordered"
651,HQ,VAV0491,NORTH WEST TOILETS 9.403,9.104 BMO WAITING AREA,J,DIFFERENT ROOM
652,HQ,VAV0492,HH-WING CORRIDOR 9.601,9.601 HH WING CORRIDOR,D,"same room, name reordered"
653,HQ,VAV0493,SHEIKA WING DINING AREA 9.110,9.110 SHEIKA WING DINING AREA,D,"same room, name reordered"
654,HQ,VAV0494,SHEIKA WING DINING AREA 9.110,9.110 SHEIKA WING DINING AREA,J,"same room, name reordered"
655,HQ,VAV0495,SOUTH EAST CORRIDOR 9.11,9.110 SHEIKA WING DINING AREA,D->E,DIFFERENT ROOM
656,HQ,VAV0496,KITCHEN 9.108,9.108 SUPPORT SPACE PREP KITCHEN,J->E,"same room, name reordered"
657,HQ,VAV0497,SHEIKA WING DINING AREA 9.110,9.110 SHEIKA WING DINING AREA,D,"same room, name reordered"
658,HQ,VAV0498,ARCHIVE 10.005,10.005 SHEIKHA WING ARCHIVE,D->E,"same room, name reordered"
659,HQ,VAV0499,EXEC. DIR. ARCH. COORD 10.006,10.006 EXEC DIR ARCH COORD,D,"same room, name reordered"
660,HQ,VAV0500,EXEC. DIR. PROT. ASSIS. 10.007,10.007 EXEC DIR PROT ASSIS,D,"same room, name reordered"
661,HQ,VAV0501,SCHED OFFICER 10.008,10.008 PROTOCOL DIR SCHED OFFICER,D->E,"same room, name reordered"
662,HQ,VAV0502,CEREM. OFFICER 10.009,10.009 PROTOCOL DIR CEREMOFF,D->E,"same room, name reordered"
663,HQ,VAV0503,CEREM. OFFICER 10.010,10.010 PROTOCOL DIR CEREMOFF,D->E,"same room, name reordered"
664,HQ,VAV0504,CEREM. OFFICER 10.011,10.011 PROTOCOL DIR CEREMOFF,D->E,"same room, name reordered"
665,HQ,VAV0505,TR. & VIS. OFFICER 10.012,10.012 PROTOCOL DIR TR AND VIS OFF,D->E,"same room, name reordered"
666,HQ,VAV0506,TR. & VIS. OFFICER 10.013,10.013 PROTOCOL DIR TR AND VIS OFF,D->E,"same room, name reordered"
667,HQ,VAV0507,SCHED OFFICER 10.015,10.015 PROTOCOL DIR SCHED OFFICER,D->E,"same room, name reordered"
668,HQ,VAV0508,PLANNING ANALYST 10.016,10.016 PLANNING DIR PLANNING ANALYST,D->E,"same room, name reordered"
669,HQ,VAV0509,STRAT. PLANNER 10.017,10.017 PLANNING DIR STRAT PLANNER,D->E,"same room, name reordered"
670,HQ,VAV0510,PLANNING DIR. EXT. COORD 10.018,10.018 PLANNING DIR EXT COORD,D,"same room, name reordered"
671,HQ,VAV0511,SEN. POLICY ANALYST 10.019,10.019 POLICY DIRSENPOLANALYST,D->E,"same room, name reordered"
672,HQ,VAV0512,SEN. RESEARCH ANALYST 10.020,10.020 POLICY DIR SEN RESEARCH ANALYST,D->E,"same room, name reordered"
673,HQ,VAV0513,RESEARCH ANALYST 10.021,10.021 POLICY DIRRESANALYST,D->E,"same room, name reordered"
674,HQ,VAV0514,RESEARCH ANALYST 10.022,10.022 POLICY DIRRESANALYST,D->E,"same room, name reordered"
675,HQ,VAV0515,HR OFFICER 10.023,10.023 SHSERVDIR HR OFFICER,D->E,"same room, name reordered"
676,HQ,VAV0516,HR ASSISTANT 10.024,10.024 SHSERVDIR HR ASSISTANT,D->E,"same room, name reordered"
677,HQ,VAV0517,PROCUR. REPRESENT 10.025,10.025 SHSERVDIR PROCUR REPRESENT,D->E,"same room, name reordered"
678,HQ,VAV0518,SERVICE COORD 10.026,10.026 SHSERVDIR SERVICE COORD,D->E,"same room, name reordered"
679,HQ,VAV0519,SERV. SUPERVISOR 10.027,10.027 SHSERVDIRGENSERVSUPERV,D->E,"same room, name reordered"
680,HQ,VAV0520,FINANCE CONTROL 10.028,10.028 SHSERVDIR FINANCE CONTROL,D->E,"same room, name reordered"
681,HQ,VAV0521,SERV. DIR. TR. & GU. SERV. 10.029,10.029 SERV DIR TR AND GU SERV,D,"same room, name reordered"
682,HQ,VAV0522,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,J,"same room, name reordered"
683,HQ,VAV0523,COMM. DIR. DESIG. 10.031,10.031 COMMUNICDIRCOMM DESIGR,D->E,"same room, name reordered"
684,HQ,VAV0524,COMM. DIR. EDITOR 10.032,10.032 COMMUNICDIRSPEECH EDITOR,D->E,"same room, name reordered"
685,HQ,VAV0525,COMM. DIR. TRANSLTOR 10.033,10.033 COMMUNICDIR TRANSLATOR,D->E,"same room, name reordered"
686,HQ,VAV0526,COMM. DIR. COORD 10.034,10.034 COMMUNICDIRPUBCOMMCOORD,D->E,"same room, name reordered"
687,HQ,VAV0527,SUPP. OFFICER 10.035,10.035 SHSERVDIR IT SUPPORT OFFICER,D->E,"same room, name reordered"
688,HQ,VAV0528,SH. SERV. DIR. ACCOUNUT. 10.036,10.036 SH SERV DIR ACCOUNUT,D,"same room, name reordered"
689,HQ,VAV0529,SH. SERV. DIR. SR. ACCOUNT. 10.037,10.037 SHSERVDIRSENACCOUNTANT,D->E,"same room, name reordered"
690,HQ,VAV0530,SHEIKHA WING STORAGE 10.001,10.001 SHEIKHA WING STORAGE,J,"same room, name reordered"
691,HQ,VAV0531,SHEIKHA WING STORAGE 10.001,10.001 SHEIKHA WING STORAGE,J,"same room, name reordered"
692,HQ,VAV0532,SHEIKHA WING STORAGE 10.001,10.001 SHEIKHA WING STORAGE,J,"same room, name reordered"
693,HQ,VAV0533,BOARD ROOM WAITING 10.003,10.003 BOARD ROOM WAITING AREA,D->E,"same room, name reordered"
694,HQ,VAV0534,BOARD ROOM WAITING 10.003,10.003 BOARD ROOM WAITING AREA,J->E,"same room, name reordered"
695,HQ,VAV0535,ARCHIVE COORD 10.004,10.004 EXECDIRARCH COORD,D->E,"same room, name reordered"
696,HQ,VAV0536,LOUNGE 10.106,10.106 LOUNGE,J,"same room, name reordered"
697,HQ,VAV0537,NW LOUNGE 10.106,10.106 LOUNGE,J->E,"same room, name reordered"
698,HQ,VAV0538,BOARD PREP. ROOM 10.109,10.109 BOARD PREP ROOM,D,"same room, name reordered"
699,HQ,VAV0539,CONSULTANT SPACE 10.101,10.101 CONSULTANT SPACE,J,"same room, name reordered"
700,HQ,VAV0540,CONSULTANT SPACE 10.101,10.101 CONSULTANT SPACE,J,"same room, name reordered"
701,HQ,VAV0541,AV ROOM 10.112,10.112 TRANSLATOR ROOM,D->E,"same room, name reordered"
702,HQ,VAV0542,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,D,"same room, name reordered"
703,HQ,VAV0543,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,D,"same room, name reordered"
704,HQ,VAV0544,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,D,"same room, name reordered"
705,HQ,VAV0545,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,D,"same room, name reordered"
706,HQ,VAV0546,HH-WING CORRIDOR 10.601,10.601 HH WING CORRIDOR,D,"same room, name reordered"
707,HQ,VAV0547,SHEIKHA WING MULTIPURPOSE ROOM 10.102,10.102 SHEIKHA WING MULTI PURPOSE ROOM,D,"same room, name reordered"
708,HQ,VAV0548,OFFICE SPACE 10.002E,10.002E OFFICE SPACE,D,"same room, name reordered"
709,HQ,VAV0549,OFFICE SPACE 10.002D,10.002D OFFICE SPACE,D,"same room, name reordered"
710,HQ,VAV0550,OFFICE SPACE 10.002C,10.002C OFFICE SPACE,D,"same room, name reordered"
711,HQ,VAV0551,OFFICE SPACE 10.002A,10.002A OFFICE SPACE,D,"same room, name reordered"
712,HQ,VAV0552,PLANNING DIR. 11.012,11.012 PLANNING DIR DIR PLANNING,D->E,"same room, name reordered"
713,HQ,VAV0553,EXEC. DIR. CORR. 11.013,11.013 EXECDIRCORRF UP,D->E,"same room, name reordered"
714,HQ,VAV0554,EXEC. DIR. CORR. MANAGER 11.014,11.014 EXEC DIR CORR MANAGER,D,"same room, name reordered"
715,HQ,VAV0555,EXEC. DIR. CORR. 11.015,11.015 EXECDIRCORRF UP,D->E,"same room, name reordered"
716,HQ,VAV0556,LEGAL ASSIST. 11.016,11.016 EXECDIR LEGAL ASSIST,D->E,"same room, name reordered"
717,HQ,VAV0557,LEGAL ADVISOR 11.017,11.017 EXECDIR LEGAL ADVISOR,D->E,"same room, name reordered"
719,HQ,VAV0559,LEGAL ADVISOR 11.018,11.018 EXECDIREXECASSIST,D->E,"same room, name reordered"
720,HQ,VAV0560,DEP. EXEC. DIRECTOR 11.019,11.019 EXECDIR DEP EXEC DIRECTOR,D->E,"same room, name reordered"
721,HQ,VAV0561,EXEC. ASSI. 11.020,11.020 EXECDIREXECASSIST,D->E,"same room, name reordered"
722,HQ,VAV0562,EXEC. DIRECTOR 11.021,11.021 EXECDIR EXEC DIRECTOR,D->E,"same room, name reordered"
723,HQ,VAV0564,SHEIKHA WING WAITING ROOM 11.022,11.022 SHEIKHA WING WAITING ROOM,D,"same room, name reordered"
724,HQ,VAV0565,SHEIKHA WING WAITING ROOM 11.022,11.022 SHEIKHA WING WAITING ROOM,J,"same room, name reordered"
725,HQ,VAV0567,SECURITY ROOM 11.023,11.023 SHEIKHA WING SECURITY ROOM,D->E,"same room, name reordered"
726,HQ,VAV0568,COMMUNICATION DIR. 11.001,11.001 COMMUNICDIR COMMUNICATION DIRECTOR,D->E,"same room, name reordered"
727,HQ,VAV0570,MED. REL. OFFICER 11.002,11.002 COMMUNICDIR MED REL OFFICER,D->E,"same room, name reordered"
728,HQ,VAV0571,DIR. SHARED SERVICES 11.003,11.003 SHSERVDIR DIR SHARED SERVICES,D->E,"same room, name reordered"
729,HQ,VAV0573,ADM. ASSI. 11.004,11.004 EXECDIRECTOR ADMASSIST,D->E,"same room, name reordered"
730,HQ,VAV0574,PROTOCOL DIR. 11.005,11.005 PROTOCOL DIRPROTOCOL DIRECTOR,D->E,"same room, name reordered"
731,HQ,VAV0575,GIFT DIR. 11.006,11.006 PROTOCOL DIRGIFTS DIRECTOR,D->E,"same room, name reordered"
732,HQ,VAV0576,EXEC. DIR. CONSULTANT 11.008,11.008 EXEC DIR CONSULTANT,D,"same room, name reordered"
733,HQ,VAV0577,SEC. 11.009,11.009 SECRETARY,D->E,"same room, name reordered"
734,HQ,VAV0578,DIR. OF POL. & RES. 11.010,11.010 POLICY DIR OF POL AND RES,D->E,"same room, name reordered"
735,HQ,VAV0579,SECRETARY 11.011,11.011 SECRETARY,J,"same room, name reordered"
