row,building,tag,room before,room after,chosen from,kind of change
88,HQ,FCU0059,IDF ROOM 3.531,3.531 IDF ROOM,J,"same room, name reordered"
89,HQ,FCU0060,IDF ROOM 3.531,3.531 IDF ROOM,D,"same room, name reordered"
90,HQ,FCU0061,IDF ROOM 3.512,3.512 IDF ROOM,J,"same room, name reordered"
91,HQ,FCU0062,COPY/PRINT 3.203,3.203 COPY PRINT,D,"same room, name reordered"
92,HQ,FCU0063,PRINT COPY 3.103,3.103 PRINT COPY,D,"same room, name reordered"
93,HQ,FCU0064,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J,DIFFERENT ROOM
94,HQ,FCU0065,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J,DIFFERENT ROOM
95,HQ,FCU0066,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J,DIFFERENT ROOM
96,HQ,FCU0067,NORTH EAST ZONE,5.602 BRIDGE,H,room number added
97,HQ,FCU0068,NORTH EAST ZONE,5.602 BRIDGE,H,room number added
98,HQ,FCU0069,NORTH EAST ZONE,5.602 BRIDGE,H,room number added
99,HQ,FCU0070,NORTH EAST ZONE,5.602 BRIDGE,H,room number added
100,HQ,FCU0071,IDF ROOM 04.531,4.531 IDF ROOM,D,"same room, level prefix differs"
101,HQ,FCU0072,IDF ROOM 04.531,4.105 PANTRY,J,DIFFERENT ROOM
102,HQ,FCU0073,IDF ROOM 04.512,4.512 IDF ROOM,J,"same room, level prefix differs"
103,HQ,FCU0074,PRINT COPY 05.202,4.202 PRINT COPY,J,"same room, level prefix differs"
104,HQ,FCU0075,GSM ROOM 05.214,4.214 GSM ROOM,J,"same room, level prefix differs"
105,HQ,FCU0076,GSM ROOM 05.214,4.214 GSM ROOM,J,"same room, level prefix differs"
106,HQ,FCU0077,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D,"same room, level prefix differs"
107,HQ,FCU0078,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D,"same room, level prefix differs"
108,HQ,FCU0079,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D,"same room, level prefix differs"
109,HQ,FCU0080,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D,"same room, level prefix differs"
110,HQ,FCU0081,TERRACE 04.702,4.702 TERRACE,D,"same room, level prefix differs"
111,HQ,FCU0082,TERRACE 04.703,4.703 TERRACE,D,"same room, level prefix differs"
112,HQ,FCU0083,TERRACE 04.702,4.702 TERRACE,D,"same room, level prefix differs"
113,HQ,FCU0084,PRINT COPY 04.110,4.110 PRINT COPY,D,"same room, level prefix differs"
114,HQ,FCU0085,IDF ROOM 5.531,5.531 IDF ROOM,J,"same room, name reordered"
115,HQ,FCU0086,IDF ROOM 5.531,5.531 IDF ROOM,J,"same room, name reordered"
116,HQ,FCU0087,IDF ROOM 5.512,5.512 IDF ROOM,J,"same room, name reordered"
117,HQ,FCU0088,PRINT COPY 5.103,5.103 PRINT COPY,D,"same room, name reordered"
118,HQ,FCU0089,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E,"same room, level prefix differs"
119,HQ,FCU0090,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E,"same room, level prefix differs"
120,HQ,FCU0091,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E,"same room, level prefix differs"
121,HQ,FCU0092,BRIDGE 5.602,5.602 BRIDGE,D,"same room, name reordered"
122,HQ,FCU0093,BRIDGE 5.602,5.602 BRIDGE,D,"same room, name reordered"
123,HQ,FCU0094,BRIDGE 5.602,5.602 BRIDGE,D,"same room, name reordered"
124,HQ,FCU0095,BRIDGE 5.602,5.602 BRIDGE,D,"same room, name reordered"
125,HQ,FCU0096,IDF ROOM 06.531,6.531 IDF ROOM,J,"same room, level prefix differs"
126,HQ,FCU0097,NOT FOUND ON THE DRAWING OR SCHEDULE,B1.512 IDF ROOM,J,room number added
127,HQ,FCU0098,IDF ROOM 06.512,6.512 IDF ROOM,J,"same room, level prefix differs"
128,HQ,FCU0099,BRIDGE 07.602,7.602 BRIDGE,D,"same room, level prefix differs"
129,HQ,FCU0100,BRIDGE 07.602,7.602 BRIDGE,D,"same room, level prefix differs"
130,HQ,FCU0101,BRIDGE 07.602,7.602 BRIDGE,D,"same room, level prefix differs"
131,HQ,FCU0102,PRINT COPY 06.104,6.104 PRINT COPY,D,"same room, level prefix differs"
132,HQ,FCU0103,PRINT COPY 06.208,6.208 PRINT COPY,D,"same room, level prefix differs"
133,HQ,FCU0104,IDF ROOM 7.531,7.531 IDF ROOM,J,"same room, name reordered"
134,HQ,FCU0105,IDF ROOM 7.531,7.531 IDF ROOM,J,"same room, name reordered"
135,HQ,FCU0106,IDF ROOM 7.512,7.512 IDF ROOM,J,"same room, name reordered"
136,HQ,FCU0107,PRINT COPY 7.101,7.101 PRINT COPY,D,"same room, name reordered"
137,HQ,FCU0108,PRINT COPY 7.104,7.104 PRINT COPY,D,"same room, name reordered"
138,HQ,FCU0109,IDF ROOM 8.512,8.512 IDF ROOM,J,"same room, name reordered"
139,HQ,FCU0110,IDF ROOM 9.531,9.531 IDF ROOM,D,"same room, name reordered"
140,HQ,FCU0111,IDF ROOM G.512,G.512 IDF ROOM,D,"same room, name reordered"
141,HQ,FCU0112,IDF ROOM 9.512,9.512 IDF ROOM,J,"same room, name reordered"
142,HQ,FCU0113,IDF ROOM 10.531,10.531 IDF ROOM,J,"same room, name reordered"
143,HQ,FCU0114,STAFF LOUNGE STORAGE 1.114,1.114 STAFF LOUNGE STORAGE,J,"same room, name reordered"
144,HQ,FCU0115,IDF ROOM 10.512,10.512 IDF ROOM,J,"same room, name reordered"
145,HQ,FCU0116,PRINT COPY 10.038,10.038 PRINT COPY,D,"same room, name reordered"
146,HQ,FCU0117,PRINT COPY 10.014,10.014 PRINT COPY,D,"same room, name reordered"
147,HQ,FCU0118,TRANSLATOR ROOM 10.111,10.111 AV ROOM,D->E,"same room, name reordered"
148,HQ,FCU0119,IDF ROOM 11.531,11.531 IDF ROOM,J,"same room, name reordered"
149,HQ,FCU0120,IDF ROOM 11.531,11.531 IDF ROOM,J,"same room, name reordered"
150,HQ,FCU0121,ELECT. CLOSET 11.110,11.110 ELECTRIC CLOSET,J,"same room, name reordered"
151,HQ,FCU0122,MCC/ELEC ROOM 11.106,11.108 PRINT COPY ROOM,J,DIFFERENT ROOM
152,HQ,FCU0123,PRINT COPY ROOM 11.108,11.106 MCC ELEC ROOM,J,DIFFERENT ROOM
153,HQ,FCU0124,AV ROOM 11.107,11.107 AV IT,J->E,"same room, name reordered"
154,HQ,FCU0125,IDF ROOM 11.512,11.512 IDF ROOM,J,"same room, name reordered"
160,HQ,FCU0131,ROOF PLANT / WALKWAY (NEAR CSRR-0008),RF.002 ROOF PLANT WALKWAY,D->E,room number added
161,HQ,FCU0132,VISITOR CENTER 9.101,9.112 AV ROOM IN VISITOR CENTER,H,DIFFERENT ROOM
162,HQ,VAV0001,STAFF ENTRANCE B.004,B1.103 STAFF LOBBY,H,DIFFERENT ROOM
163,HQ,VAV0002,STAFF LOBBY B.103,B1.103 STAFF LOBBY,D,"same room, level prefix differs"
164,HQ,VAV0003,STAFF LOBBY B.103,B1.103 STAFF LOBBY,D,"same room, level prefix differs"
165,HQ,VAV0004,SPORT SPACE B.110,B1.110 MALE BREAK ROOM,H,"same room, level prefix differs"
166,HQ,VAV0005,LOBBY B.116,B1.116 SHEIKHA LOBBY,D->E,"same room, level prefix differs"
167,HQ,VAV0006,LOBBY B.116,B1.116 SHEIKHA LOBBY,D->E,"same room, level prefix differs"
168,HQ,VAV0007,CONTROL ROOM G.008,G.008 CONTROL ROOM,J,"same room, name reordered"
169,HQ,VAV0008,PR & MARKET MANAGER G.009,G.009 PR AND MARKET MANAGER,D,"same room, name reordered"
170,HQ,VAV0009,PR & MARKET STAFF G.010,G.010 PR AND MARKET STAFF,J,"same room, name reordered"
171,HQ,VAV0011,PR & MARK. MANA. G.011,G.011 PR AND MARKET MANAGER,D->E,"same room, name reordered"
172,HQ,VAV0012,PR & MARKET STAFF G.012,G.012 PR AND MARKET STAFF,J,"same room, name reordered"
173,HQ,VAV0013,VISITOR OFF. G.014,G.014 VISITOR CENT OFFICE,D->E,"same room, name reordered"
174,HQ,VAV0014,PR & MARKET STAFF G.015,G.015 PR AND MARKET STAFF,J,"same room, name reordered"
175,HQ,VAV0015,PR & MAR. STAFF G.018,G.018 PR AND MARKET STAFF,D->E,"same room, name reordered"
176,HQ,VAV0016,PR & MAR. STAFF G.019,G.019 PR AND MARKET STAFF,D->E,"same room, name reordered"
177,HQ,VAV0017,PR & MAR. STAFF G.020,G.020 PR AND MARKET STAFF,D->E,"same room, name reordered"
178,HQ,VAV0018,PR & MAR. STAFF G.021,G.021 PR AND MARKET STAFF,D->E,"same room, name reordered"
179,HQ,VAV0019,PR & MARKET SEC. G.022,G.022 PR AND MARKET SECRETARY,D->E,"same room, name reordered"
180,HQ,VAV0020,PR & MARKET STAFF G.023,G.023 PR AND MARKET STAFF,D,"same room, name reordered"
181,HQ,VAV0021,CORRIDOR G.601,G.601 CORRIDOR,J,"same room, name reordered"
182,HQ,VAV0022,CORRIDOR G.601,G.601 CORRIDOR,J,"same room, name reordered"
183,HQ,VAV0023,SHOP G.105,G.105 SHOP,J,"same room, name reordered"
184,HQ,VAV0024,LOBBY G.104,G.104 LOBBY,J,"same room, name reordered"
185,HQ,VAV0025,LOBBY G.104,G.104 LOBBY,J,"same room, name reordered"
186,HQ,VAV0026,BMS ROOM G.103,G.103 BMS,J->E,"same room, name reordered"
187,HQ,VAV0027,PR & MARKET MANAGER G.004,G.004 PR AND MARKET MANAGER,D,"same room, name reordered"
188,HQ,VAV0028,PR & MARKET MANAGER G.003,G.003 PR AND MARKET MANAGER,D,"same room, name reordered"
189,HQ,VAV0029,PR & MARKET MANAGER G.002,G.002 PR AND MARKET MANAGER,D,"same room, name reordered"
190,HQ,VAV0030,G.CORIDOR,G.400 CORRIDOR SOUTH WEST SW,H,room number added
191,HQ,VAV0031,PR & MARKET STAFF G.001,G.001 PR AND MARKET STAFF,D,"same room, name reordered"
192,HQ,VAV0032,PR & MARKET STAFF G.038,G.038 PR AND MARKET STAFF,D,"same room, name reordered"
193,HQ,VAV0033,PR & MARKET STAFF G.037,G.037 PR AND MARKET STAFF,D,"same room, name reordered"
194,HQ,VAV0034,PR & MARKET STAFF G.036,G.036 PR AND MARKET STAFF,D,"same room, name reordered"
195,HQ,VAV0035,PR & MARKET STAFF G.035,G.035 PR AND MARKET STAFF,D,"same room, name reordered"
196,HQ,VAV0036,PR & MARKET STAFF G.034,G.034 PR AND MARKET STAFF,D,"same room, name reordered"
197,HQ,VAV0037,PR & MARKET STAFF G.033,G.033 PR AND MARKET STAFF,D,"same room, name reordered"
198,HQ,VAV0038,PR & MARKET STAFF G.032,G.032 PR AND MARKET STAFF,D,"same room, name reordered"
199,HQ,VAV0039,STAFF G.030,G.030 PR AND MARKET STAFF,D,"same room, name reordered"
200,HQ,VAV0040,SENSORY G.029,G.029 PR AND MARKET STAFF,D,"same room, name reordered"
201,HQ,VAV0041,SENSORY G.029,G.029 PR AND MARKET STAFF,J,"same room, name reordered"
