family,kind,part,point,units,of,example_tag,historian_description,unit_of_measure,signal,match_phrase,match_phrase_source,point_kind,part_device,part_class_darcairo,part_class_score,part_class_from,part_status,darcairo_class,darcairo_score,darcairo_uses,darcairo_evidence,runner_up,runner_up_score,darcairo_class_in_brick,brick_candidate,brick_candidate_status,brick_candidate_score,proposed_class,proposed_from,status
AHUB,point,DuctHumd07,PV,1,15,QNL_AHUB001_DuctHumd07.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp,PV,1,15,QNL_AHUB010_DuctTemp.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp08,PV,1,15,QNL_AHUB006_DuctTemp08.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp09,PV,1,15,QNL_AHUB006_DuctTemp09.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp10,PV,1,15,QNL_AHUB006_DuctTemp10.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp11,PV,1,15,QNL_AHUB006_DuctTemp11.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,FACHWRtnTemp,PV,1,15,QNL_AHUB001_FACHWRtnTemp.PV,Process Value,°C,analog,fresh air chilled water return temperature,expanded from the tag,Sensor,,,,,,brick:Chilled_Water_Return_Temperature_Sensor,0.57,5,class name,brick:Return_Air_Temperature_Sensor,0.43,DEPRECATED,brick:Chilled_Water_Temperature_Sensor,OK,0.43,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,FACHWSupTemp,PV,1,15,QNL_AHUB001_FACHWSupTemp.PV,Process Value,°C,analog,fresh air chilled water supply temperature,expanded from the tag,Sensor,,,,,,brick:Chilled_Water_Supply_Temperature_Sensor,0.57,4,class name,brick:Supply_Air_Temperature_Sensor,0.43,DEPRECATED,brick:Chilled_Water_Temperature_Sensor,OK,0.43,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan1,AutoManCmd,1,15,QNL_AHUB001_RtnFan1.AutoManCmd,Auto/Manual Command,,discrete,Auto/Manual Command,historian description,Command,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:On_Off_Command,0.33,68,class name,brick:On_Command,0.33,OK,brick:Fan_Command,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan1,RunSts,1,15,QNL_AHUB001_RtnFan1.RunSts,Running Status,,discrete,Running Status,historian description,Status,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:On_Off_Status,0.50,219,class name,brick:Status,0.50,OK,brick:Fan_On_Off_Status,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan1,SpeedFbk,1,15,QNL_AHUB001_RtnFan1.SpeedFbk,Speed Feedback,%,analog,Speed Feedback,historian description,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,para:Over_Speed_Sensor,0.25,1,class name,para:Engine_Speed_Sensor,0.25,not in Brick 1.4,brick:Speed_Sensor,OK,0.20,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan1,TripAlm,1,15,QNL_AHUB001_RtnFan1.TripAlm,Trip Alarm,,discrete,Trip Alarm,historian description,Alarm,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Alarm,0.50,33,class name,brick:Fire_Alarm,0.33,OK,brick:Return_Air_Temperature_Alarm,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
