class,subClassOf,label,source
para:Winter_Supply_Air_Temperature_Setpoint,brick:Supply_Air_Temperature_Setpoint,Winter Supply Air Temperature Setpoint,DarCairo_V98.csv
para:Working_Day_Status,brick:Status,Working Day Status,DarCairo_V98.csv
para:Zero_Current_Sensor,brick:Current_Sensor,Zero Sequence Current,DarCairo_V98.csv
para:contributionFraction,brick:Point,Contribution Fraction,DarCairo_V98.csv
para:fan_failure,brick:Failure_Alarm,Fan Failure,DarCairo_V98.csv
para:format,brick:timestamp,Format,DarCairo_V98.csv
para:fuse_failure,brick:Failure_Alarm,Fuse Failure,DarCairo_V98.csv
para:hasEntityId,ref:hasTimeseriesId,hasEntityId,DarCairo_V98.csv
para:heartBeat,brick:Point,Heart Beat,DarCairo_V98.csv
para:refrigerant,rec:PointOfInterest,Refrigerant Type,DarCairo_V98.csv
para:safeShutdown,brick:Point,Safe Shut Down Flag,DarCairo_V98.csv
