point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:QNL_B-001A_Break-Out-Area_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-001A_Break-Out-Area
entity:QNL_B-001_Tech-Services-And-Collections-Office_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-001_Tech-Services-And-Collections-Office
entity:QNL_B-001_Tech-Services-And-Collections-Office_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-001_Tech-Services-And-Collections-Office
entity:QNL_B-002_Kitchen_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-002_Kitchen
entity:QNL_B-002_Kitchen_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-002_Kitchen
entity:QNL_B-003_Finance-Coordinator-Business-Support-Ofcr_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-003_Finance-Coordinator-Business-Support-Ofcr
entity:QNL_B-003_Finance-Coordinator-Business-Support-Ofcr_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-003_Finance-Coordinator-Business-Support-Ofcr
entity:QNL_B-004B_ST-04b_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-004B_ST-04b
entity:QNL_B-004B_ST-04b_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-004B_ST-04b
entity:QNL_B-004_Analog-Resources_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-004_Analog-Resources
entity:QNL_B-004_Analog-Resources_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-004_Analog-Resources
entity:QNL_B-005_Digital-Resources_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-005_Digital-Resources
entity:QNL_B-005_Digital-Resources_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-005_Digital-Resources
entity:QNL_B-006_Budget-Payment-1_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-006_Budget-Payment-1
entity:QNL_B-006_Budget-Payment-1_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-006_Budget-Payment-1
entity:QNL_B-007_Budget-Payment-2_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-007_Budget-Payment-2
entity:QNL_B-007_Budget-Payment-2_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-007_Budget-Payment-2
entity:QNL_B-008_Receiving-Area_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-008_Receiving-Area
entity:QNL_B-008_Receiving-Area_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-008_Receiving-Area
entity:QNL_B-009_Reception-Lounge_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-009_Reception-Lounge
entity:QNL_B-009_Reception-Lounge_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-009_Reception-Lounge
entity:QNL_B-010_Patio-Garden_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-010_Patio-Garden
entity:QNL_B-010_Patio-Garden_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-010_Patio-Garden
entity:QNL_B-020_Engineering_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-020_Engineering
entity:QNL_B-020_Engineering_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-020_Engineering
entity:QNL_B-021_Arabic-Studies_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-021_Arabic-Studies
entity:QNL_B-021_Arabic-Studies_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-021_Arabic-Studies
entity:QNL_B-022_Licensing-Expert_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-022_Licensing-Expert
entity:QNL_B-022_Licensing-Expert_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-022_Licensing-Expert
entity:QNL_B-023_Arts-Humanities_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-023_Arts-Humanities
entity:QNL_B-023_Arts-Humanities_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-023_Arts-Humanities
entity:QNL_B-024_Ad-Collections_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-024_Ad-Collections
entity:QNL_B-024_Ad-Collections_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-024_Ad-Collections
entity:QNL_B-025_Social-Sciences_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-025_Social-Sciences
entity:QNL_B-025_Social-Sciences_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-025_Social-Sciences
entity:QNL_B-026_Business-Computing_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-026_Business-Computing
entity:QNL_B-026_Business-Computing_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-026_Business-Computing
entity:QNL_B-027_Procurement-Spc-Procurement-Ofcr_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-027_Procurement-Spc-Procurement-Ofcr
entity:QNL_B-027_Procurement-Spc-Procurement-Ofcr_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-027_Procurement-Spc-Procurement-Ofcr
entity:QNL_B-028_Storage_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-028_Storage
entity:QNL_B-028_Storage_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-028_Storage
entity:QNL_B-029_Literature-Language_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-029_Literature-Language
entity:QNL_B-029_Literature-Language_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,,entity:QNL_B-029_Literature-Language
entity:QNL_B-030_Snr-P-Coordinator-P-Coordinator_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWTH_CALC,,entity:QNL_B-030_Snr-P-Coordinator-P-Coordinator
