subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_036_REST_REST_ROOM_WOMEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.036 REST REST ROOM WOMEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_036_COR_CORRIDOR_4A,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.036 COR CORRIDOR 4A,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_040_OFFICE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.040 OFFICE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_041_DIGITIZATION_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.041 DIGITIZATION ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_042_RECEPTION_&_LOUNGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.042 RECEPTION & LOUNGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_043_BINDING_&_PRESERVATION_SPACE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.043 BINDING & PRESERVATION SPACE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_044_BOH_B_O_H_KITCHEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.044 BOH B O H KITCHEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_044_FIN_FINE_BINDING,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.044 FIN FINE BINDING,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_046_RES_REST_ROOM_MEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.046 RES REST ROOM MEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_046_ITT_ITTIGATION_CONTROL_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.046 ITT ITTIGATION CONTROL ROOM,,,,,,,,,,,,,,,,,,,,
