old_identifier,new_identifier,kind
entity:QNL_AHU_B_002_SpcHumd02_PV,entity:QNL_AHU-B-002_Space-Humidity-2,point
entity:QNL_AHU_B_002_SpcHumd03_PV,entity:QNL_AHU-B-002_Space-Humidity-3,point
entity:QNL_AHU_B_002_SpcHumd04_PV,entity:QNL_AHU-B-002_Space-Humidity-4,point
entity:QNL_AHU_B_002_SpcHumd05_PV,entity:QNL_AHU-B-002_Space-Humidity-5,point
entity:QNL_AHU_B_002_SpcHumd06_PV,entity:QNL_AHU-B-002_Space-Humidity-6,point
entity:QNL_AHU_B_002_SpcHumd07_PV,entity:QNL_AHU-B-002_Space-Humidity-7,point
entity:QNL_AHU_B_002_SpcTemp01_PV,entity:QNL_AHU-B-002_Space-Temperature-1,point
entity:QNL_AHU_B_002_SpcTemp02_PV,entity:QNL_AHU-B-002_Space-Temperature-2,point
entity:QNL_AHU_B_002_SpcTemp03_PV,entity:QNL_AHU-B-002_Space-Temperature-3,point
entity:QNL_AHU_B_002_SpcTemp04_PV,entity:QNL_AHU-B-002_Space-Temperature-4,point
entity:QNL_AHU_B_002_SpcTemp05_PV,entity:QNL_AHU-B-002_Space-Temperature-5,point
entity:QNL_AHU_B_002_SpcTemp06_PV,entity:QNL_AHU-B-002_Space-Temperature-6,point
entity:QNL_AHU_B_002_SpcTemp07_PV,entity:QNL_AHU-B-002_Space-Temperature-7,point
entity:QNL_AHU_B_002_SupAirDuctPrs_PV,entity:QNL_AHU-B-002_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_002_SupAirFlow_PV,entity:QNL_AHU-B-002_Supply-Air-Flow,point
entity:QNL_AHU_B_002_SupAirHumd_PV,entity:QNL_AHU-B-002_Supply-Air-Humidity,point
entity:QNL_AHU_B_002_SupAirTemp_PV,entity:QNL_AHU-B-002_Supply-Air-Temperature,point
entity:QNL_AHU_B_002_SupFan_AutoManCmd,entity:QNL_AHU-B-002_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_002_SupFan_FTSP,entity:QNL_AHU-B-002_Supply-Fan-Fail-To-Stop-Alarm,point
