kind,source_identifier,ontology_identifier,rdfs:label_en
room,entity:QNL_B_021_ARABIC_STUDIES,entity:QNL_B_021_ARABIC_STUDIES,B.021_ARABIC_STUDIES
room,entity:QNL_B_022_LICENSING_EXPERT,entity:QNL_B_022_LICENSING_EXPERT,B.022_LICENSING_EXPERT
room,entity:QNL_B_023_ARTS_&_HUMANITIES,entity:QNL_B_023_ARTS_&_HUMANITIES,B.023_ARTS_&_HUMANITIES
room,entity:QNL_B_024_AD_COLLECTIONS,entity:QNL_B_024_AD_COLLECTIONS,B.024_AD_COLLECTIONS
room,entity:QNL_B_025_SOCIAL_SCIENCES,entity:QNL_B_025_SOCIAL_SCIENCES,B.025_SOCIAL_SCIENCES
room,entity:QNL_B_026_BUSINESS_&_COMPUTING,entity:QNL_B_026_BUSINESS_&_COMPUTING,B.026_BUSINESS_&_COMPUTING
room,entity:QNL_B_027_PROCUREMENT_SPC_PROCUREMENT_OFCR,entity:QNL_B_027_PROCUREMENT_SPC_PROCUREMENT_OFCR,B.027_PROCUREMENT_SPC_PROCUREMENT_OFCR
room,entity:QNL_B_028_STORAGE,entity:QNL_B_028_STORAGE,B.028_STORAGE
room,entity:QNL_B_029_LITERATURE_&_ANGUAGE,entity:QNL_B_029_LITERATURE_&_ANGUAGE,B.029_LITERATURE_&_ANGUAGE
room,entity:QNL_B_030_SNR_P_COORDINATOR_&_P_COORDINATOR,entity:QNL_B_030_SNR_P_COORDINATOR_&_P_COORDINATOR,B.030_SNR_P_COORDINATOR_&_P_COORDINATOR
room,entity:QNL_B_031_JANITORS_ROOM,entity:QNL_B_031_JANITORS_ROOM,B.031_JANITORS_ROOM
room,entity:QNL_B_032_REST_ROOM_MEN,entity:QNL_B_032_REST_ROOM_MEN,B.032_REST_ROOM_MEN
room,entity:QNL_B_034_MEETING_ROOM,entity:QNL_B_034_MEETING_ROOM,B.034_MEETING_ROOM
room,entity:QNL_B036_REST_REST_ROOM_WOMEN,entity:QNL_B_036_REST_REST_ROOM_WOMEN,B.036_REST_REST_ROOM_WOMEN
room,entity:QNL_B036_COR_CORRIDOR_4A,entity:QNL_B_036_COR_CORRIDOR_4A,B.036_COR_CORRIDOR_4A
room,entity:QNL_B_040_OFFICE,entity:QNL_B_040_OFFICE,B.040_OFFICE
room,entity:QNL_B_041_DIGITIZATION_ROOM,entity:QNL_B_041_DIGITIZATION_ROOM,B.041_DIGITIZATION_ROOM
room,entity:QNL_B_042_RECEPTION_&_LOUNGE,entity:QNL_B_042_RECEPTION_&_LOUNGE,B.042_RECEPTION_&_LOUNGE
room,entity:QNL_B_043_BINDING_&_PRESERVATION_SPACE,entity:QNL_B_043_BINDING_&_PRESERVATION_SPACE,B.043_BINDING_&_PRESERVATION_SPACE
room,entity:QNL_B044_BOH_B_O_H_KITCHEN,entity:QNL_B_044_BOH_B_O_H_KITCHEN,B.044_BOH_B_O_H_KITCHEN
