sheet,tag,entity,status,detail
FCU,B/07,entity:QNL_FCU_B_007,matched,1 unit(s)
FCU,B/09,entity:QNL_FCU_B_009,matched,1 unit(s)
FCU,B/10,entity:QNL_FCU_B_010,matched,1 unit(s)
FCU,B/11-12 (OPT-1),entity:QNL_FCU_B_011;entity:QNL_FCU_B_012,matched,2 unit(s)
FCU,B/13-14,entity:QNL_FCU_B_013;entity:QNL_FCU_B_014,matched,2 unit(s)
FCU,B/15-16,entity:QNL_FCU_B_015;entity:QNL_FCU_B_016,matched,2 unit(s)
FCU,B/18-21,entity:QNL_FCU_B_018;entity:QNL_FCU_B_019;entity:QNL_FCU_B_020;entity:QNL_FCU_B_021,matched,4 unit(s)
FCU,B/22-23,entity:QNL_FCU_B_022;entity:QNL_FCU_B_023,matched,2 unit(s)
FCU,B/25-26,entity:QNL_FCU_B_025;entity:QNL_FCU_B_026,matched,2 unit(s)
FCU,B/27-28,entity:QNL_FCU_B_027;entity:QNL_FCU_B_028,matched,2 unit(s)
FCU,B/29,entity:QNL_FCU_B_029,matched,1 unit(s)
FCU,B/30,entity:QNL_FCU_B_030,matched,1 unit(s)
FCU,B5,entity:QNL_FCU_B_005,matched,1 unit(s)
FCU,FCU/1F/01,entity:QNL_FCU_1F_001,matched,1 unit(s)
FCU,FCU/2F/01-04,entity:QNL_FCU_2F_001;entity:QNL_FCU_2F_002;entity:QNL_FCU_2F_003;entity:QNL_FCU_2F_004,matched,4 unit(s)
FCU,FCU/B/01,entity:QNL_FCU_B_001,matched,1 unit(s)
FCU,FCU/B/31,entity:QNL_FCU_B_031,matched,1 unit(s)
FCU,2F/06-29,,unmatched,2F numbering does not match the ontology's 2F FCUs
FCU,2F/30-33,,unmatched,2F numbering does not match the ontology's 2F FCUs
Closed Control Units,"CC/B/01,02",,unmatched,family tags do not correspond to ontology tags
Closed Control Units,"CC/B/03,04",,unmatched,family tags do not correspond to ontology tags
Closed Control Units,"CC/B/05,06,07",,unmatched,family tags do not correspond to ontology tags
Closed Control Units,CC/B/08,,unmatched,family tags do not correspond to ontology tags
Closed Control Units,CC/B/09,,unmatched,family tags do not correspond to ontology tags
Climate Control Units,MCG Air Filter AF4,,unmatched,family tags do not correspond to ontology tags
Climate Control Units,MCG-10P,,unmatched,family tags do not correspond to ontology tags
Climate Control Units,VCB1000-AB32,,unmatched,family tags do not correspond to ontology tags
Pressurization Unit,PU/B/01,,unmatched,family tags do not correspond to ontology tags
