point_entity,timeseries_id,reason
entity:QNL_TEF-101C_Trip-Count,QNL_TEF_101C.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Fail-Start-Alarm,QNL_TEF_102C.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Fail-Stop-Alarm,QNL_TEF_102C.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Fault-Reset-Command,QNL_TEF_102C.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Remote-Status,QNL_TEF_102C.RemSts,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Run-Time,QNL_TEF_102C.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Start-Count,QNL_TEF_102C.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-102C_Trip-Count,QNL_TEF_102C.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Fail-Start-Alarm,QNL_TEF_B01A.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Fail-Stop-Alarm,QNL_TEF_B01A.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Fault-Reset-Command,QNL_TEF_B01A.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Run-Time,QNL_TEF_B01A.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Start-Count,QNL_TEF_B01A.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01A_Trip-Count,QNL_TEF_B01A.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01B_Fail-Start-Alarm,QNL_TEF_B01B.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01B_Fail-Stop-Alarm,QNL_TEF_B01B.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01B_Fault-Reset-Command,QNL_TEF_B01B.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01B_Run-Time,QNL_TEF_B01B.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01B_Start-Count,QNL_TEF_B01B.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
